Rabbit - low ATP,,,,
time (s),A band width (micron),,time (s),Sarcomere length (micron)
,,,8.347082367,2.586640228
,,,8.372025821,2.597642766
,,,8.39430689,2.610249841
,,,8.426715176,2.635846024
,,,8.426803199,2.622169258
,,,8.41892215,2.591683058
,,,8.438680006,2.671909898
,,,8.434759997,2.658156726
,,,8.419723826,2.649904822
,,,8.450340298,2.705926079
,,,8.440169736,2.689789023
,,,8.425152503,2.682912437
,,,8.429091449,2.607728426
,,,8.492639097,2.723671839
,,,8.498098762,2.742509518
,,,8.514723136,2.757729695
,,,8.51593512,2.7735
,,,8.528742377,2.710189562
,,,8.529774457,2.694831853
,,,8.539546074,2.681995558
,,,8.539394576,2.67099302
,,,8.539243078,2.659990482
,,,8.534132548,2.650088198
,,,8.537230681,2.730590102
,,,8.551032864,2.638902284
,,,8.548736949,2.626982868
,,,8.548585451,2.61598033
,,,8.548421329,2.604060914
,,,8.545267646,2.591774746
,,,8.600338411,2.689789023
,,,8.589180587,2.674202094
,,,8.584048595,2.662741117
,,,8.583909722,2.652655457
,,,8.583745599,2.640736041
,,,8.583543602,2.62606599
,,,8.620676378,2.703771415
,,,8.651752745,2.682810561
,,,8.66170139,2.666775381
,,,8.660203665,2.6543364
,,,8.6591537,2.698499365
,,,8.67130131,2.641469543
,,,8.673119285,2.629
,,,8.672967787,2.617997462
,,,8.679418654,2.604824979
,,,8.689177646,2.591071806
,,,8.702249253,2.577063945
,,,8.716947008,2.56073842
,,,8.771899731,2.577929886
,,,8.780283519,2.567516769
,,,8.81518115,2.590409616
,,,8.834213015,2.57138671
,,,8.86121408,2.561884518
,,,8.918329952,2.571970178
,,,8.8910718,2.562801396
,,,8.973406197,2.581712008
,,,8.960786103,2.568302665
,,,9.010829521,2.590205866
,,,9.040439303,2.573116275
,,,9.047992808,2.559745135
,,,9.045094708,2.549965102
,,,9.070413802,2.582514277
,,,9.097862283,2.569015792
,,,9.125464367,2.555204405
,,,9.158124798,2.540337881
,,,9.169126074,2.52649302
,,,9.183883656,2.514512479
,,,9.194620652,2.499536802
,,,9.203326418,2.481543068
,,,9.213090145,2.468133725
,,,9.212960741,2.458735723
,,,9.245226296,2.514104977
,,,9.253711583,2.528265651
,,,9.248363916,2.501141339
,,,9.238246168,2.48883989
,,,9.299714054,2.514730783
,,,9.288514027,2.527043147
,,,9.30470537,2.498772737
,,,9.317806154,2.486883883
,,,9.346503652,2.475789657
,,,9.392327992,2.48028236
,,,9.38917431,2.467996193
,,,9.403604068,2.456290715
,,,9.417924832,2.442690355
,,,9.434992698,2.430770939
,,,9.449550028,2.421449344
,,,9.483669774,2.447274746
,,,9.492855294,2.435660956
,,,9.546029541,2.444107349
,,,9.591528148,2.45705478
,,,9.646782674,2.464053617
,,,9.682583622,2.452776015
,,,9.695187108,2.439175656
,,,9.704969246,2.427103426
,,,9.714714036,2.412318766
,,,9.72611373,2.397304886
,,,9.732769119,2.381783448
,,,9.740634387,2.368117597
,,,9.758778369,2.361241011
,,,9.815752117,2.364653835
,,,9.827019776,2.380189827
,,,9.833843496,2.394095812
,,,9.849684049,2.409158811
,,,9.867391874,2.422213409
,,,9.889110787,2.434132826
,,,9.924871666,2.502516656
,,,9.916429513,2.45134976
,,,9.909100099,2.440856599
,,,9.926707526,2.475290468
,,,9.904454162,2.464695431
,,,9.938672497,2.49330203
,,,9.949513578,2.526024394
,,,9.93995518,2.514206853
,,,9.966606193,2.540272389
,,,9.975296283,2.552104484
,,,9.928488428,2.484489566
,,,1.227112948,2.491539763
